dreg	ab	as	riskav	horizon	age	age2	nwhite	female	college	married	children	empl	selfempl	retired	advisor	wkfinance	health_exc	nfininst	future_bett	w95	w98	w01	w04	w07	w10	w13	w16	effcohort	spret	vix	inco	inco2	wthfin	wthfin2	wthreal	wthreal2	debt	debt2	home	peso
1	.0016008	.8320235	1	4	.54	.2916	0	0	1	1	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	.1299602	.1011292	13.70222	0	0	5.423924	29.41895	5.454842	29.7553	0	0	1	120.7169
1	0	.906298	1	1	.35	.1225	0	0	0	1	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	.1368043	.1011292	13.70222	.0629748	.0039658	.0630687	.0039777	.1008403	.0101688	.1034587	.0107037	1	23750.71
1	.3220656	.556197	1	4	.45	.2025	0	0	1	1	1	0	1	0	0	0	1	4	0	1	0	0	0	0	0	0	0	.1306428	.1011292	13.70222	1.27122	1.616001	1.18774	1.410726	3.507989	12.30598	.6826927	.4660693	1	104.2718
2	0	0	3	1	.71	.5041	0	0	1	1	0	0	0	1	0	0	1	4	1	1	0	0	0	0	0	0	0	.1282913	.1011292	13.70222	.0174371	.0003041	.1410654	.0198995	.2409834	.058073	.0089597	.0000803	1	20724.54
1	.3532358	.4000877	2	3	.74	.5476	0	1	1	0	0	0	1	0	0	0	0	7	0	1	0	0	0	0	0	0	0	.1280137	.1011292	13.70222	.3504879	.1228417	.1598305	.0255458	.7885637	.6218327	.0005478	3.00e-07	1	1019.869
2	0	0	1	3	.35	.1225	0	0	0	1	1	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	.1368043	.1011292	13.70222	.0610951	.0037326	.1471261	.0216461	.2299204	.0528634	0	0	0	13764.23
1	.0185504	.9712468	1	3	.72	.5184	0	0	1	1	0	0	1	0	0	0	0	10	1	1	0	0	0	0	0	0	0	.1281848	.1011292	13.70222	.0293646	.0008623	1.56308	2.443218	1.748069	3.055744	.1655144	.027395	1	3751.264
1	0	.9621273	1	4	.43	.1849	0	0	1	1	1	1	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	.1312361	.1011292	13.70222	.0723207	.0052303	.060201	.0036242	.1213765	.0147323	.2569651	.0660311	1	18304.55
1	.3780983	.2982776	2	1	.48	.2304	0	1	1	1	0	1	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	.1302393	.1011292	13.70222	.0487902	.0023805	.0689755	.0047576	.1650143	.0272297	.0411419	.0016927	1	51860.22
1	.3663093	.4337651	3	4	.61	.3721	0	0	0	1	0	0	0	1	0	0	0	10	0	1	0	0	0	0	0	0	0	.1294611	.1011292	13.70222	.0149083	.0002223	.1401265	.0196354	.3114615	.0970083	0	0	1	25267.45
1	.1666977	.829314	1	4	.55	.3025	0	0	0	1	0	0	1	0	0	1	1	5	1	1	0	0	0	0	0	0	0	.129941	.1011292	13.70222	0	0	2.741956	7.51832	3.314364	10.98501	.7509443	.5639173	1	1101.477
1	.1113173	.838855	1	4	.64	.4096	0	0	0	1	0	0	0	1	0	0	1	6	1	1	0	0	0	0	0	0	0	.1293246	.1011292	13.70222	.0449734	.0020226	.2637787	.0695792	.4736468	.2243413	.2279321	.051953	1	12617.3
1	.1943721	.4437833	1	3	.65	.4225	0	0	1	1	0	1	0	0	0	0	0	8	1	1	0	0	0	0	0	0	0	.1291997	.1011292	13.70222	.3045392	.0927441	.9606521	.9228524	1.084648	1.176462	0	0	1	5816.479
1	.2309235	.5683782	2	4	.62	.3844	0	0	0	1	0	0	1	0	0	0	1	3	0	1	0	0	0	0	0	0	0	.1294229	.1011292	13.70222	2.140066	4.579883	3.575509	12.78427	4.451944	19.81981	0	0	1	101.968
1	.0229885	.9770115	3	3	.53	.2809	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	.129951	.1011292	13.70222	.0401818	.0016146	.1379342	.0190258	.2164813	.0468642	.0403739	.0016301	1	18891.02
1	0	.6519558	3	3	.66	.4356	0	1	0	0	0	0	0	0	0	0	1	4	1	1	0	0	0	0	0	0	0	.1290272	.1011292	13.70222	.06764	.0045752	.1306598	.017072	.7878571	.6207188	.1932615	.03735	1	4084.85
1	0	.3856422	2	3	.45	.2025	0	1	1	1	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	.1306428	.1011292	13.70222	.0478373	.0022884	.0652445	.0042568	.0828878	.0068704	.0198026	.0003921	1	31952.43
2	0	0	2	2	.36	.1296	0	0	0	1	1	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	.1358096	.1011292	13.70222	.0468836	.0021981	.0595323	.0035441	.0869251	.007556	.0324672	.0010541	1	31658.81
1	0	.5232509	2	2	.55	.3025	0	0	1	1	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	.129941	.1011292	13.70222	.3708737	.1375473	.5350303	.2862574	.6671622	.4451054	.3001046	.0900628	1	4835.95
1	0	.3055077	1	4	.51	.2601	0	0	1	1	0	0	1	0	0	0	1	7	0	1	0	0	0	0	0	0	0	.1299589	.1011292	13.70222	.8307328	.690117	.7092075	.5029753	3.157238	9.96815	.5287441	.2795703	1	263.7009
1	.6735855	.1471909	2	3	.47	.2209	0	0	0	1	1	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	.1303443	.1011292	13.70222	.0131136	.000172	.1254102	.0157277	.2196279	.0482364	.0276152	.0007626	1	22707.7
1	0	.9352751	1	3	.47	.2209	0	0	1	1	1	1	0	0	0	0	1	4	1	1	0	0	0	0	0	0	0	.1303443	.1011292	13.70222	.0953102	.009084	.2692635	.0725028	.3886578	.1510549	.0029955	8.97e-06	1	7524.354
1	0	.6687752	2	4	.59	.3481	0	0	1	1	1	0	1	0	0	0	1	15	0	1	0	0	0	0	0	0	0	.1296172	.1011292	13.70222	.1823216	.0332412	1.079719	1.165793	1.333882	1.779242	.0544882	.002969	1	1093.737
1	0	.4926108	3	4	.45	.2025	0	0	0	1	0	1	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	.1306428	.1011292	13.70222	.10436	.010891	.0966729	.0093456	.1235441	.0152631	.0953102	.009084	1	18313.18
1	.088	.48	1	3	.3	.09	0	0	0	1	1	1	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	.1425671	.1011292	13.70222	.0676586	.0045777	.117783	.0138728	.1739532	.0302597	0	0	0	19966.44
1	0	.7827698	1	4	.65	.4225	0	0	1	1	0	0	1	0	0	1	1	8	1	1	0	0	0	0	0	0	0	.1291997	.1011292	13.70222	.1044681	.0109136	.1954845	.0382142	.442703	.1959859	.1311072	.0171891	1	3643.087
2	0	0	3	1	.26	.0676	0	0	0	1	1	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	.1479489	.1011292	13.70222	.0345946	.0011968	.1565763	.0245161	.1565762	.0245161	0	0	0	26132.44
1	0	.4113259	2	3	.5	.25	0	0	1	1	0	0	0	1	0	0	0	19	0	1	0	0	0	0	0	0	0	.1300181	.1011292	13.70222	.2244227	.0503656	.2339157	.0547166	1.478449	2.185812	.0586462	.0034394	1	1227.937
1	0	.0814984	2	1	.42	.1764	0	1	0	0	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	.1316428	.1011292	13.70222	.0443422	.0019662	.0881024	.007762	.0881024	.007762	0	0	0	23889.33
1	.1264673	.4894751	2	2	.65	.4225	0	0	1	1	0	0	1	0	0	0	0	4	1	1	0	0	0	0	0	0	0	.1291997	.1011292	13.70222	.4046648	.1637536	1.662008	2.762269	3.010982	9.066014	0	0	1	216.8106
1	.4513833	.506222	1	3	.64	.4096	0	0	1	1	1	1	0	0	0	0	1	17	0	1	0	0	0	0	0	0	0	.1293246	.1011292	13.70222	.040566	.0016456	2.797375	7.825309	2.897225	8.393912	1.375031	1.890711	1	157.5481
1	0	.2746229	2	3	.36	.1296	0	0	1	1	1	1	0	0	0	0	1	12	0	1	0	0	0	0	0	0	0	.1358096	.1011292	13.70222	.1068794	.0114232	.0961298	.0092409	.2130948	.0454094	.0923968	.0085372	1	24381.54
